tradingday,stockcode,stockweight
2015-12-11 00:00:00,300332,0.8
2015-12-14 00:00:00,601186,0.8
2015-12-15 00:00:00,002230,0.8
2015-12-16 00:00:00,002367,0.8
2015-12-17 00:00:00,600978,0.8
2015-12-18 00:00:00,601789,0.8
2015-12-21 00:00:00,600193,0.8
2015-12-22 00:00:00,300179,0.8
2015-12-23 00:00:00,000875,0.8
2015-12-24 00:00:00,300090,0.8
2015-12-25 00:00:00,002365,0.8
2015-12-28 00:00:00,000892,0.8
2015-12-29 00:00:00,300358,0.8
2015-12-30 00:00:00,600050,0.8
2015-12-31 00:00:00,002668,0.8
2016-01-04 00:00:00,000585,0.8
2016-01-05 00:00:00,600621,0.8
2016-01-06 00:00:00,000952,0.8
2016-01-07 00:00:00,600658,0.8
2016-01-08 00:00:00,000032,0.8
2016-01-11 00:00:00,600213,0.8
2016-01-12 00:00:00,000537,0.8
2016-01-13 00:00:00,600548,0.8
2016-01-14 00:00:00,300332,0.8
2016-01-15 00:00:00,000547,0.8
2016-01-18 00:00:00,000681,0.8
2016-01-19 00:00:00,603009,0.8
2016-01-20 00:00:00,002287,0.8
2016-01-21 00:00:00,300063,0.8
2016-01-22 00:00:00,000700,0.8
2016-01-25 00:00:00,600857,0.8
2016-01-26 00:00:00,000815,0.8
2016-01-27 00:00:00,000738,0.8
2016-01-28 00:00:00,000725,0.8
2016-01-29 00:00:00,600475,0.8
2016-02-01 00:00:00,600647,0.8
2016-02-02 00:00:00,000759,0.8
2016-02-03 00:00:00,600557,0.8
2016-02-04 00:00:00,601388,0.8
2016-02-05 00:00:00,600978,0.8
2016-02-15 00:00:00,002057,0.8
2016-02-16 00:00:00,600118,0.8
2016-02-17 00:00:00,601101,0.8
2016-02-18 00:00:00,002110,0.8
2016-02-19 00:00:00,000687,0.8
2016-02-22 00:00:00,002193,0.8
2016-02-23 00:00:00,600586,0.8
2016-02-24 00:00:00,300157,0.8
2016-02-25 00:00:00,002300,0.8
2016-02-26 00:00:00,600375,0.8
2016-02-29 00:00:00,600735,0.8
2016-03-01 00:00:00,300367,0.8
2016-03-02 00:00:00,002120,0.8
2016-03-03 00:00:00,600303,0.8
2016-03-04 00:00:00,600664,0.8
2016-03-07 00:00:00,002465,0.8
2016-03-08 00:00:00,000982,0.8
2016-03-09 00:00:00,300050,0.8
2016-03-10 00:00:00,601877,0.8
2016-03-11 00:00:00,002625,0.8
2016-03-14 00:00:00,300167,0.8
2016-03-15 00:00:00,000100,0.8
2016-03-16 00:00:00,002249,0.8
2016-03-17 00:00:00,002544,0.8
2016-03-18 00:00:00,002694,0.8
2016-03-21 00:00:00,600281,0.8
2016-03-22 00:00:00,600328,0.8
2016-03-23 00:00:00,002216,0.8
2016-03-24 00:00:00,600732,0.8
2016-03-25 00:00:00,002478,0.8
2016-03-28 00:00:00,600873,0.8
2016-03-29 00:00:00,600135,0.8
2016-03-30 00:00:00,002277,0.8
2016-03-31 00:00:00,000711,0.8
2016-04-01 00:00:00,300148,0.8
2016-04-05 00:00:00,603609,0.8
